platform	state	file	pixels	sha256	serial	model	os_version	api_level	display_id	display_size	density	app_bounds	system_insets	font_scale	locale	timezone	theme/night_mode	orientation	fixture	package_version	build_revision
android	home	home.png	822x1918	3e13dd914ed97a18f18f2800f4303c5c9bd0cacbe6c7aa78c781833e42c563c4	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=home	0.3.6	no-git
android	region	region.png	822x1918	9b0127b62a6430a04161c8135257d775c3fc6329a15de4eb4119af8fe7d45012	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=region	0.3.6	no-git
android	region-search	region-search.png	822x1918	d0c0f028038cc59b5926764764782e690cd124591bfeb4629fd8a42287fd08e2	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=region-search	0.3.6	no-git
android	loading	loading.png	822x1918	4649dfb5be1f3ddcad6668279a820d2e8ab90f74549241e514e45f7f77892419	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=loading	0.3.6	no-git
android	results	results.png	822x1918	32da8f7d9173153d0790a3f94e55561849e8704e1985f146ce20d02f8a01a921	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=results	0.3.6	no-git
android	decision	decision.png	822x1918	623a9903da4e7d2b7fe7d58cab936ab7172ddf7f9938c10d06a02a6bf09027c9	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=decision	0.3.6	no-git
android	decision-recorded	decision-recorded.png	822x1918	5fc0c27eac1780f913923d8fff9fb3ba621ad48a0e141e44256f72ba4772f1e3	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=decision-recorded	0.3.6	no-git
android	history-empty	history-empty.png	822x1918	d2b2c2ac020d2c3212987ef57f8ce308ad9fe6e140b6e53f576d73ec7ef5cb7a	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=history-empty	0.3.6	no-git
android	history-populated	history-populated.png	822x1918	3eb610ba1bbdd790c2dd45650e032f738235d0823950d2416746d28ac697ad28	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=history-populated	0.3.6	no-git
android	favorites-empty	favorites-empty.png	822x1918	5c9bf291ecf55bd35825588ee5d5022b8d1a837ece3d04f063e31ad1abcbad0e	192.168.0.199:35361	SM-F968N	16	36	4630946740849765780	Physical size: 822x1918	Physical density: 420;Override density: 320;	unavailable	mGivenContentInsets=[0,0][0,0] mGivenVisibleInsets=[0,0][0,0]	1.15	ko-KR	Asia/Seoul	app_configuration=unavailable;system=Night mode: no	portrait	matchup_state=favorites-empty	0.3.6	no-git
